STAC Field,MSS 1-3 Field,MSS 4-5 Field,TM Field,ETM+ Field,OLI_TIRS Field,OLI-only Field,TIRS-only Field
,GROUP = LANDSAT_METADATA_FILE,GROUP = LANDSAT_METADATA_FILE,GROUP = LANDSAT_METADATA_FILE,GROUP = LANDSAT_METADATA_FILE,GROUP = LANDSAT_METADATA_FILE,GROUP = LANDSAT_METADATA_FILE,GROUP = LANDSAT_METADATA_FILE
,"  GROUP = PRODUCT_CONTENTS","  GROUP = PRODUCT_CONTENTS","  GROUP = PRODUCT_CONTENTS","  GROUP = PRODUCT_CONTENTS","  GROUP = PRODUCT_CONTENTS","  GROUP = PRODUCT_CONTENTS","  GROUP = PRODUCT_CONTENTS"
,"    ORIGIN = ""Image courtesy of the U.S. Geological Survey""","    ORIGIN = ""Image courtesy of the U.S. Geological Survey""","    ORIGIN = ""Image courtesy of the U.S. Geological Survey""","    ORIGIN = ""Image courtesy of the U.S. Geological Survey""","    ORIGIN = ""Image courtesy of the U.S. Geological Survey""","    ORIGIN = ""Image courtesy of the U.S. Geological Survey""","    ORIGIN = ""Image courtesy of the U.S. Geological Survey"""
,,,,"    DATA_TYPE_BAND_6_VCID_2 = ""UINT8""",,,
,"    DATA_TYPE_BAND_7 = ""UINT8""",,"    DATA_TYPE_BAND_7 = ""UINT8""","    DATA_TYPE_BAND_7 = ""UINT8""","    DATA_TYPE_BAND_7 = ""UINT16""","    DATA_TYPE_BAND_7 = ""UINT16""",
,,,,"    DATA_TYPE_BAND_8 = ""UINT8""","    DATA_TYPE_BAND_8 = ""UINT16""","    DATA_TYPE_BAND_8 = ""UINT16""",
,,,,,"    DATA_TYPE_BAND_9 = ""UINT16""","    DATA_TYPE_BAND_9 = ""UINT16""",
,,,,,"    DATA_TYPE_BAND_10 = ""UINT16""",,"    DATA_TYPE_BAND_10 = ""UINT16"""
,,,,,"    DATA_TYPE_BAND_11 = ""UINT16""",,"    DATA_TYPE_BAND_11 = ""UINT16"""
,"    DATA_TYPE_QUALITY_L1_PIXEL = ""UINT16""","    DATA_TYPE_QUALITY_L1_PIXEL = ""UINT16""","    DATA_TYPE_QUALITY_L1_PIXEL = ""UINT16""","    DATA_TYPE_QUALITY_L1_PIXEL = ""UINT16""","    DATA_TYPE_QUALITY_L1_PIXEL = ""UINT16""","    DATA_TYPE_QUALITY_L1_PIXEL = ""UINT16""","    DATA_TYPE_QUALITY_L1_PIXEL = ""UINT16"""
,"    DATA_TYPE_QUALITY_L1_RADIOMETRIC_SATURATION = ""UINT16""","    DATA_TYPE_QUALITY_L1_RADIOMETRIC_SATURATION = ""UINT16""","    DATA_TYPE_QUALITY_L1_RADIOMETRIC_SATURATION = ""UINT16""","    DATA_TYPE_QUALITY_L1_RADIOMETRIC_SATURATION = ""UINT16""","    DATA_TYPE_QUALITY_L1_RADIOMETRIC_SATURATION = ""UINT16""","    DATA_TYPE_QUALITY_L1_RADIOMETRIC_SATURATION = ""UINT16""","    DATA_TYPE_QUALITY_L1_RADIOMETRIC_SATURATION = ""UINT16"""
,,"    PRESENT_BAND_1 = ""Y""",,,,,
,,"    PRESENT_BAND_2 = ""Y""",,,,,
,,"    PRESENT_BAND_3 = ""Y""",,,,,
,"    PRESENT_BAND_4 = ""Y""","    PRESENT_BAND_4 = ""Y""",,,,,
,"    PRESENT_BAND_5 = ""Y""",,,,,,
,"    PRESENT_BAND_6 = ""Y""",,,,,,
,"    PRESENT_BAND_7 = ""Y""",,,,,,
,,,"    DATA_TYPE_ANGLE_SENSOR_AZIMUTH_BAND_4 = ""INT16""","    DATA_TYPE_ANGLE_SENSOR_AZIMUTH_BAND_4 = ""INT16""","    DATA_TYPE_ANGLE_SENSOR_AZIMUTH_BAND_4 = ""INT16""","    DATA_TYPE_ANGLE_SENSOR_AZIMUTH_BAND_4 = ""INT16""",
,,,"    DATA_TYPE_ANGLE_SENSOR_ZENITH_BAND_4 = ""INT16""","    DATA_TYPE_ANGLE_SENSOR_ZENITH_BAND_4 = ""INT16""","    DATA_TYPE_ANGLE_SENSOR_ZENITH_BAND_4 = ""INT16""","    DATA_TYPE_ANGLE_SENSOR_ZENITH_BAND_4 = ""INT16""",
,,,"    DATA_TYPE_ANGLE_SOLAR_AZIMUTH_BAND_4 = ""INT16""","    DATA_TYPE_ANGLE_SOLAR_AZIMUTH_BAND_4 = ""INT16""","    DATA_TYPE_ANGLE_SOLAR_AZIMUTH_BAND_4 = ""INT16""","    DATA_TYPE_ANGLE_SOLAR_AZIMUTH_BAND_4 = ""INT16""",
